Word,Tier,Dictionary Concept,"User ""Answer"" Keywords (Matching Web)",Notes
Bolt,Common,A flash of lightning,"thunder, storm, sky, electricity, strike, weather",
,Common,A metal fastener,"screw, nut, hardware, tool, steel, thread, tighten",
,Niche,To run away suddenly,"flee, escape, dash, sprint, leave, vamoose, scamper",
,Rare,A roll of fabric,"cloth, textile, sewing, material, silk, yardage, roll",
,Unicorn,To swallow food whole,"eat, gulp, wolf down, devour, gorge, unchewed",
,Unicorn,Part of a plant (Botany),"seed, stem, flower, grow, premature, lettuce, onion",
Draft,Common,A preliminary writing,"sketch, version, rough, essay, manuscript, edit",
,Common,A current of cool air,"breeze, wind, chill, window, vent, airflow",
,Niche,Military conscription,"army, war, enlist, selective service, soldier, call-up",
,Rare,Liquid from a cask,"beer, ale, tap, keg, drink, pour, tavern",
,Unicorn,Depth of a ship’s hull,"waterline, boat, depth, keel, nautical, displacement",
,Unicorn,To pull a heavy load,"horse, ox, hauling, traction, cart, beast of burden",
Mint,Common,A refreshing herb,"leaf, plant, garden, mojito, breath, toothpaste",
,Common,Perfect condition,"new, flawless, pristine, unused, original, fresh",
,Niche,A candy or sweet,"gum, breath mint, peppermint, tic-tac, life-saver",
,Rare,Place where money is made,"coins, currency, federal, factory, stamping, gold",
,Unicorn,A vast amount of money,"fortune, wealth, rich, ""making a mint,"" luxury",
Scale,Common,Device to weigh objects,"weight, pounds, kilograms, heavy, balance, bathroom",
,Common,To climb up something,"mountain, wall, ascent, upward, ladder, summit",
,Niche,Hard plates on a fish/reptile,"skin, armor, snake, trout, protection, scales",
,Niche,A sequence of musical notes,"piano, octave, do-re-mi, major, minor, singing",
,Rare,Relative size or proportion,"map, model, ratio, small-scale, dimensions, drawing",
,Unicorn,To remove flakes/buildup,"teeth, plaque, dentist, scraping, cleaning, rust",
Pool,Common,A place for swimming,"water, basin, lido, deep-end, diving, splash",
,Common,A game of billiards,"cue, pockets, balls, table, eight-ball, chalk",
,Niche,To combine resources,"money, group, share, collective, fund, joint-effort",
,Rare,A small patch of liquid,"puddle, spill, blood, oil, leak, collection",
,Unicorn,A typing or labor group,"office, steno, secretarial, staff, resource-pool",
,Unicorn,A betting syndicate,"gambling, football-pool, stakes, wager, pot",
Strike,Common,To hit or blow,"punch, smack, physical, impact, knock, beat",
,Common,A labor protest,"work-stoppage, union, picket, strike-line, walkout",
,Niche,Baseball or Bowling term,"miss, swing, pins, gutter, pitcher, frame",
,Rare,To ignite a flame,"match, spark, light, fire, friction, sulfur",
,Unicorn,To dismantle a stage set,"theater, theater-wrap, cleanup, takedown, props",
